DOI	OCI	MAGPaperID
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000006	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000008	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001060910000007	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000001080310000409	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000010463030005075808005909000103066306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210060000070510000302	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622102712370109080137000300000200060201	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201362210000002040010000002	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023625242111370109080837000900020600060009	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023601000909630005010858020000000102010559030838020440040400033838101813632524211009004203370037122439026306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000002360100090963000501085802000000010000015903083801094003060506383810181363252421100109004203370037122439026322	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236252421370109070637010300010400080003	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000800360000020202030307090008000508010508	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000201361910000001060510000504	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000106360000040063040003095809015908000709076310	2132825888
10.1002/pola.10001	020010000023625242110370100000001-02001000002361023181437010909020001090701	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023610132210370109090600000800020100	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004080201383810181363252421100109004203370037122439026321	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023658281812185901000909630005010858020000000002010559030838044006080938381018136325242110034203370037122439026330	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023622102712370109080237000300000300020008	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100020136221009050109010422	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023658281812185901000909630005010858020000000006010559030838010240020102013838101813632524211001004203370037122439026333	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070706383810181363252421100106004203370037122439026305	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070305383810181363252421100103004203370037122439026321	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100020136221000000008070129	2132825888
10.1002/pola.10001	020010000023625242110370100000001-020010000023601000909630005010858020000000009010559030838010840030203053838101813632524211002004203370037122439026306	2132825888
10.1002/pola.10001	020010000023625242110370100000001-0200100000236010009096300050108580200000001025903083801614004070409383810181363252421100104004203370037122439026313	2132825888
